DEPTO,NOMDEPTO,CODLOC,NOMLOC,NOMBRE,DIRECCION,x,y
"01",MONTEVIDEO,"01020",MONTEVIDEO,EL TUNEL,Avelino Miranda 2615 esq Av. Italia,576504.046759143,6138419.79159578
"01",MONTEVIDEO,"01020",MONTEVIDEO,EL TUNEL 2,Solano Garcia 2569 esq Victor Soliño,576986.993713313,6135100.77661739
"01",MONTEVIDEO,"01020",MONTEVIDEO,EL TUNEL 3,26 de Marzo 3397 esq. Julio César,578593.967751789,6137036.63161371
"01",MONTEVIDEO,"01020",MONTEVIDEO,EL TUNEL 4,Juan B.Alberdi 6597 esq. Murillo,585569.476436805,6139910.7380464
"01",MONTEVIDEO,"01020",MONTEVIDEO,EL TUNEL 5,18 de Julio 945A esq. Río Branco,573445.095084978,6137077.69056866
"01",MONTEVIDEO,"01020",MONTEVIDEO,EL TUNEL 5,Hipolito Yrigoyen 1599 esq. Av. Gral. Rivera,581411.692259897,6138642.38538397
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMAHORRO EL TUNEL  ,Avda Agraciada 4061 Bis,571559.969323787,6142316.90894532
"01",MONTEVIDEO,"01020",MONTEVIDEO,EL TUNEL BEBES Y NIÑOS,Avelino Miranda 2605 esq. 8 de Octubre,576466.402028877,6138446.77328096
"01",MONTEVIDEO,"01900",RURAL,EL TUNEL 8,Camino Luis Eduardo Pérez 6651 (Sector Polivalente Nº local C - 017),567448.504857376,6146860.09777282
"01",MONTEVIDEO,"01020",MONTEVIDEO,ELTUNEL 9,18 de Julio 1195 esq. Cuareim,573954.764092241,6137113.25902316
"10",MALDONADO,"10524",PUNTA DEL ESTE,EL TUNEL 10,Avda. Gorlero S/N entre parada 28 y 29,687936.44675989,6129398.26880833
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMAGLOBAL  4, Av. Brasil 2948,577480.673406188,6136457.8260095
"03",CANELONES,"03831",LAGOMAR,FARMAGLOBAL 11,Av. Giannattasio 21.500,592920.752506252,6144636.32687565
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMAGLOBAL,Francisco Solano Antuña 2752,577301.461985404,6135672.00993147
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMAGLOBAL 7,21 de Setiembre 3076,577555.699017305,6135475.38105795
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMAGLOBAL 2,Jaime Zudáñez,577461.689212509,6135908.70747886
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMAGLOBAL 5,José Ellauri 868,577334.429652724,6136086.04845207
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMAGLOBAL 8,Ramón Masini 3379,577840.644792289,6136379.83707749
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMAGLOBAL 14,Bv. Gral. Artigas 1157,576384.753653907,6136907.91783247
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMAGLOBAL,Av. Italia 2941,577576.768001565,6138834.97422913
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMACITY,Av. Italia 3250,578172.545810587,6139058.71708727
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMACITY,Av. Brasil 3077,577667.941059929,6136237.59194205
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMACITY,21 de Septiembre 2753,576982.901347073,6135774.68815797
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMACITY,Av. Luis A. Herrera 1248,578839.632369228,6137210.87676895
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMAUY,Maldonado esq.Yaro,575278.006287263,6136802.57979899
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMA & GLAM (ANDES),Soriano 850,573262.576235601,6136844.50844272
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMA & GLAM (ANDROMEDA),Garcia de Zuniga 2211,576221.20957896,6135679.960624
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMA & GLAM (GALENA),Arenal Grande 1352,575557.538096269,6137372.57428259
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMA & GLAM (KENNY),Rondeau 1685,573799.861587856,6137772.95900437
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMA & GLAM (LOS FAROLES),Durazno 1102,573830.801791198,6136554.19752247
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMA & GLAM (LA CAJA),Colonia 1870,575239.564776818,6137624.30383789
"08",FLORIDA,"08220",FLORIDA,DUPEST,Independencia 651,572345.638690932,6226661.40539135
"08",FLORIDA,"08220",FLORIDA,ENY,José E. Rodó 3654 e/ M.Oribe,572062.221449233,6226361.16401085
"08",FLORIDA,"08421",SARANDI GRANDE,ALQUIMIA,Av. Artigas 829,562118.802211039,6268230.41523956
"08",FLORIDA,"08421",SARANDI GRANDE,PASTEUR - SARANDI GRANDE,Av. Artigas 867,562204.009230322,6268187.76343797
"08",FLORIDA,"08790",CERRO CHATO,CERRO CHATO,Julio A. Goday s/n,674195.858932177,6335098.33765739
"08",FLORIDA,"08823",MENDOZA,NATIVA,Ruta 5 Km. 74.500,572196.508825846,6206479.92215794
"08",FLORIDA,"08621",CARDAL,NUEVA FARMACIA CARDAL,Av. Artigas s/n e/ Uruguay,555887.446299927,6205451.58295596
"02",ARTIGAS,"02522",TOMAS GOMENSORO,ALFA,Rincón 353,457961.052728045,6633414.5340271
"02",ARTIGAS,"02522",TOMAS GOMENSORO,PLAZA,19 de Abril 205,458181.434862306,6633499.97104612
"02",ARTIGAS,"02521",BELLA UNION,ARTIGAS,Av. Artigas 698,441878.805591333,6652086.76197686
"02",ARTIGAS,"02521",BELLA UNION,FARMACENTRO,Av. Artigas 901,442097.749507484,6652175.09778682
"02",ARTIGAS,"02521",BELLA UNION,SANTA CECILIA CENTRO,Av. Artigas 642,441820.770323933,6652068.41729588
"02",ARTIGAS,"02521",BELLA UNION,SANTA CECILIA ESTE,Av. Artigas 1609,442798.990850498,6652379.52256233
"08",FLORIDA,"08722",CAPILLA DEL SAUCE,RIAL,Av. Centenario s/n,627272.901164026,6295877.04912051
"08",FLORIDA,"08521",CASUPA,TEJERA HNAS.,Manuel Francisco Artigas s/n,624285.280411323,6225898.79414966
"08",FLORIDA,"08624",25 DE MAYO,25 DE MAYO - FLORIDA,19 de Junio 1195 esq. Gral F. Rivera,560609.350316288,6215780.23711918
"09",LAVALLEJA,"09521",JOSE BATLLE Y ORDO�EZ,BOASSO,Rivera s/n,671978.884319642,6294974.34120172
"09",LAVALLEJA,"09220",MINAS,FARINA,José E. Rodó y W. Beltrán,662259.500462157,6194647.82476714
"09",LAVALLEJA,"09220",MINAS,GORTARI,Domingo Pérez 501 e/ T.y Tres,661992.484618251,6194658.72777313
"09",LAVALLEJA,"09220",MINAS,IDAMAR,Varela s/n e/ Carlos Ma. Fosalba,663035.469784968,6195575.66600687
"09",LAVALLEJA,"09220",MINAS,ORIENTAL,Domingo Pérez 479,661948.785318028,6194610.32663198
"09",LAVALLEJA,"09220",MINAS,SERRANA,Juan Farina 445,661522.460029626,6194862.0535021
"09",LAVALLEJA,"09622",SOLIS DE MATAOJO,GOMEZ,Av. Eduardo Fabini 775,640605.884020579,6170228.17637516
"09",LAVALLEJA,"09621",MARISCALA,IRISARRI,Av. Artigas s/n,705243.958178697,6231015.85169423
"09",LAVALLEJA,"09522",JOSE PEDRO VARELA,LA FAMILIA,Podestá 715,728988.140472683,6295426.9044762
"09",LAVALLEJA,"09522",JOSE PEDRO VARELA,ZAPICAN,Lavalleja 415,729171.901084823,6295350.00253392
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMA & GLAM (LUJAN),18 de Julio 2176,576000.032632675,6137839.12252986
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMA & GLAM (EROSA),Jose E. Rodo 2101,575717.788372944,6137383.94891405
"01",MONTEVIDEO,"01020",MONTEVIDEO,REX,Av. Rivera 3648,579064.136278085,6137703.4169259
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN PABLO,Av. San Martin 2443,574342.44433984,6139819.5518271
"01",MONTEVIDEO,"01020",MONTEVIDEO,DE MARCO,Av. Luis Alberto de Herrera 2957,576867.94662873,6140541.30016501
"10",MALDONADO,"10321",SAN CARLOS,ALVARIZA,Alvariza 831,690241.057058973,6148257.91026675
"10",MALDONADO,"10321",SAN CARLOS,SOLER,18 de Julio 851,690601.921727365,6147947.81003843
"10",MALDONADO,"10321",SAN CARLOS,CEDEMCAR,Ejido 741,690900.896589569,6148540.15638586
"10",MALDONADO,"10973",BALNEARIO BUENOS AIRES,BALNEARIO BUENOS AIRES,Calle 26 esquina 49,701479.500610234,6137056.51692747
"10",MALDONADO,"10320",MALDONADO,DIADRI,Camino Lussich y Firenze,685649.781997292,6136429.67265845
"10",MALDONADO,"10320",MALDONADO,DEL MIRADOR,Cno. de los Gauchos e/ Chiossi,687889.223107489,6136110.02295736
"10",MALDONADO,"10320",MALDONADO,IPORA,Cont. 25 de Agosto y Artigas,686003.163952607,6135109.65990694
"10",MALDONADO,"10320",MALDONADO,SAN ROQUE 54,Sarandí 555 e/ Antonio Ledesma,686604.335782347,6134647.49939163
"10",MALDONADO,"10320",MALDONADO,LUSSICH,Cno. Lussich y Carolina Saboya,685822.868205693,6136158.22943384
"10",MALDONADO,"10320",MALDONADO,LUZ,Calle 7 esq. 13,688680.955240482,6136388.2797075
"10",MALDONADO,"10320",MALDONADO,MALDONADO,Sta. Teresa y Ventura Alegre,686992.156780699,6135408.75956105
"10",MALDONADO,"10320",MALDONADO,NIEVE,Cno de los Gauchos y Oribe,687865.4231349,6135801.79061279
"10",MALDONADO,"10320",MALDONADO,RUMBO AL 3000,Dr. Román Bergalli 445,687225.357361904,6135597.37738485
"10",MALDONADO,"10320",MALDONADO,SUEÑOS,Calle 1 y 10 - Urb. Biarritz,687885.7307375,6136836.21189385
"10",MALDONADO,"10320",MALDONADO,TAMITA,Florida y Ramón Guerra ,686704.475576683,6135228.95034621
"10",MALDONADO,"10830",PINARES - LAS DELICIAS,SAN ROQUE,Sarandí 555,686192.26057451,6134553.31261938
"10",MALDONADO,"10524",PUNTA DEL ESTE,COLONIAL,Pedragosa Sierra y Bvar.Artigas,688451.545432929,6131058.09019875
"10",MALDONADO,"10524",PUNTA DEL ESTE,LA PASTORA,Av. Francia y Ansina,688434.133758467,6130169.07015236
"10",MALDONADO,"10830",PINARES - LAS DELICIAS,LAS DELICIAS,Av. España P. 27 A (límite Maldonado),685600.909198655,6134558.49293628
"10",MALDONADO,"10524",PUNTA DEL ESTE,SAN ROQUE 90 MENAFRA,Calle 28 esq. 20,687828.427222062,6129448.2985277
"10",MALDONADO,"10524",PUNTA DEL ESTE,SAN RAFAEL,Brighton y Nordeney (La Barra),690076.221213647,6131749.88110421
"10",MALDONADO,"10524",PUNTA DEL ESTE,SAN ROQUE 15 - PUNTA SHOPPING,Av. Roosevelt y Los Alpes,688686.092053392,6131557.74158202
"10",MALDONADO,"10524",PUNTA DEL ESTE,FONT,"Avenida Williman y Parada 1, Edificio Vanguardia",688097.957090584,6130007.90261097
"10",MALDONADO,"10523",PIRIAPOLIS,FUTURA,Gral. Sanabria 936,657623.054181447,6140309.3815945
"10",MALDONADO,"10521",AIGUA,MARITAN,Margarita Muniz 801,706009.709864961,6212953.12144721
"11",PAYSANDU,"11959",TERMAS DE GUAVIYU,TERMAL GUAVIYU,"Termas de Guaviyú, ruta 3, km431",416134.189311658,6476745.64828226
"01",MONTEVIDEO,"01020",MONTEVIDEO,ANTARTIDA,Colonia 1475 BIS,574493.796529008,6137282.79518008
"01",MONTEVIDEO,"01020",MONTEVIDEO,BARCELONA,Bulevar España 2319,576252.164885854,6136609.87552748
"01",MONTEVIDEO,"01020",MONTEVIDEO,CACERES,Bulevar España 2941,577657.946360409,6136076.70454099
"01",MONTEVIDEO,"01020",MONTEVIDEO,CAMAÑO,Brito del Pino 1314,576940.750719353,6137199.36734707
"01",MONTEVIDEO,"01020",MONTEVIDEO,CONSTITUCION SUR,Camino Maldonado 5516,579944.983878316,6143707.14717504
"01",MONTEVIDEO,"01020",MONTEVIDEO,CORAL,Bvar. José Batlle y Ordóñez 1375,579507.63583255,6138447.88464567
"01",MONTEVIDEO,"01020",MONTEVIDEO,PASO DE LA ARENA,Av. Luis Batlle Berres 6605,566466.752155426,6144880.37632238
"01",MONTEVIDEO,"01020",MONTEVIDEO,POPULAR,Fernández Crespo 1991,574769.987961314,6138187.10046877
"01",MONTEVIDEO,"01020",MONTEVIDEO,PUNTA FARMA,María Espínola 1614,583679.834341964,6138951.40791344
"01",MONTEVIDEO,"01020",MONTEVIDEO,SILLEDA,General Flores 3401,575770.256974869,6141560.39304398
"01",MONTEVIDEO,"01020",MONTEVIDEO,TAPIE,25 de mayo 315,572246.891751352,6136994.39990376
"02",ARTIGAS,"02220",ARTIGAS,SAGA,Manuel Oribe 476,551371.377109083,6636266.21716627
"03",CANELONES,"03525",PASO CARRASCO,LUNA,Garibaldi 21,587416.041535294,6142773.80079965
"04",CERRO LARGO,"04220",MELO,FARMACENTRO,Herrera 650,766317.474835786,6415069.24482465
"04",CERRO LARGO,"04220",MELO,CENTRAL MEDIFAR,,766375.05361899,6414767.47746969
"15",SALTO,"15120",SALTO,DOS NACIONES,Enrique Amorin 1201 esquina A. Invernizzi,408916.258043618,6528183.57324864
"14",ROCHA,"14421",CASTILLOS,CASTILLOS,Olivera 1230,789285.565138402,6211268.6447005
"14",ROCHA,"14421",CASTILLOS,DOS VIAS, 19 de Abril 1462,789705.411357546,6211411.45036145
"14",ROCHA,"14421",CASTILLOS,FERRER,Acosta 1229,789408.74519183,6211317.18508818
"14",ROCHA,"14421",CASTILLOS,GARAT,19 de Abril 1350,789478.217040062,6211366.50022025
"14",ROCHA,"14521",CHUY,CHIQUITIN,Av. Brasil 685,828652.346365249,6266245.66795744
"14",ROCHA,"14521",CHUY,CHIQUITIN II,Av. Brasil 359,828951.319112301,6266219.00582774
"14",ROCHA,"14521",CHUY,CRISTAL,Av. Gral Artigas 128,828581.904917007,6266208.15828146
"14",ROCHA,"14962",PUNTA DEL DIABLO,DE LA ALDEA,Av. Central s/n,819392.763164787,6227438.82317312
"14",ROCHA,"14722",LA PALOMA,DEL NAVIO,Av. del Navio y Lira ,759805.961121201,6160830.75742868
"14",ROCHA,"14722",LA PALOMA,SOL Y LUA,Paloma s/n entre Aries y Solari,760374.988973628,6161149.42780534
"14",ROCHA,"14422",LASCANO,HUMANITARIA,25 de Agosto 1192 loc.3,758895.904525599,6270423.70483692
"14",ROCHA,"14422",LASCANO,MAFELUGUS ,Larrañaga 1251,759038.858175465,6270675.49287585
"14",ROCHA,"14422",LASCANO,SAN MATEO,Dr. Fonseca 1327,758801.95201159,6270252.17878229
"14",ROCHA,"14320",ROCHA,JAZMIN,Luis A. de Herrera s/n,745689.857125942,6180278.49750609
"14",ROCHA,"14320",ROCHA,URUGUAY - ROCHA,18 de Julio 129,744774.350279376,6181342.84821296
"14",ROCHA,"14320",ROCHA,SILVA,Lavalleja 119 esquina 18 de julio,744933.083649434,6181171.36998987
"14",ROCHA,"14942",LA PEDRERA,LA PEDRERA,Pitanga c/ Avda. Principal,763455.1405184,6168531.66180345
"14",ROCHA,"14622",VELAZQUEZ,DEL PUEBLO - VELAZQUEZ,Hilario Gómez y Mario Sobrero,750976.816808518,6230522.28750161
"16",SAN JOSE,"16220",SAN JOSE DE MAYO,18 SAN JOSE,A. de Figueroa 600 e/ 18 de Julio,525932.023542683,6200117.73209313
"16",SAN JOSE,"16220",SAN JOSE DE MAYO,4 DE OCTUBRE,Luis A.de Herrera 456 e/ Artigas,526353.337393848,6199643.72916301
"16",SAN JOSE,"16220",SAN JOSE DE MAYO,ABE BELLINI,18 de Julio 582 e/ 25 de Mayo,526434.363763323,6200235.57718101
"10",MALDONADO,"10523",PIRIAPOLIS,LOS ANGELES,Artigas y Misiones,657163.232707655,6141445.0261562
"10",MALDONADO,"10523",PIRIAPOLIS,MACHADO,Rambla de los Argentinos 1192,657528.22149852,6140376.79073287
"10",MALDONADO,"10945",LAS FLORES,LA CABINA,Av. Los Laureles s/n,652579.978579729,6146413.95564499
"10",MALDONADO,"10522",PAN DE AZUCAR,OLAZA,Felix de Lizarza 749,662403.997854773,6150392.35206008
"10",MALDONADO,"10947",MANANTIALES,BIKINI,Ruta 10 Km 164,698530.679934126,6135319.07229486
"10",MALDONADO,"10956",PUNTA BALLENA,PORTEZUELO,Ruta Interbalnearia Km. 117.500,677548.518759793,6138783.32649138
"11",PAYSANDU,"11120",PAYSANDU,DOROTTE NORTE,Dr. Roldán esq. Andresito,398259.146869675,6425577.4337005
"11",PAYSANDU,"11120",PAYSANDU,FERROCARRIL,Cerrito 1305 e/ P.Larrañaga,398714.612395388,6424557.17952499
"11",PAYSANDU,"11120",PAYSANDU,HEINZEN,18 de Julio 878,397649.896111539,6423953.37035931
"11",PAYSANDU,"11120",PAYSANDU,INGLESA II,Leandro Gómez 1013,397759.407917204,6423829.02020552
"16",SAN JOSE,"16220",SAN JOSE DE MAYO,SENAQUE ,Ciganda y Oribe (Plaza Independencia),526865.909299995,6200083.79196381
"16",SAN JOSE,"16220",SAN JOSE DE MAYO,TERMINAL,Artigas 779 e/ Ansina,526135.134029171,6200629.00580128
"16",SAN JOSE,"16421",LIBERTAD,BIDEGAIN,25 de Agosto 980,534924.657488923,6167467.65305243
"16",SAN JOSE,"16421",LIBERTAD,PRINCIPAL,25 de Agosto 1105 bis,534744.568835558,6167245.3248316
"16",SAN JOSE,"16421",LIBERTAD,LIBERFARMA,Rivas Costas 1071,534727.205693352,6167113.80922383
"16",SAN JOSE,"16621",RODRIGUEZ,BRICCOLA,Santiago Rodríguez 915,542337.957064786,6195393.73203342
"16",SAN JOSE,"16824",PLAYA PASCUAL,DANJOVI,Av. Río de la Plata Parada 5 y 1/2,550238.73617816,6155343.75871563
"16",SAN JOSE,"16929",ECILDA PAULLIER,DARIEL,Av. Artigas s/n,495805.418072803,6198191.36602189
"16",SAN JOSE,"16929",ECILDA PAULLIER,MARINE,César Rodríguez Bonavita,495724.644338271,6198276.47359415
"16",SAN JOSE,"16521",DELTA DEL TIGRE Y VILLAS,DEL 26,Ruta 1 Km 26.600 M. 192 S.3,555209.089216976,6152882.11742353
"16",SAN JOSE,"16826",RAFAEL PERAZA,EL MAGO,Ruta 1 Km. 72 - Artigas 519,518607.912902144,6179617.91866418
"16",SAN JOSE,"16932",KIYU-ORDEIG,KIYU,Luz Marina s/n,523820.211594314,6160398.74663737
"16",SAN JOSE,"16826",RAFAEL PERAZA,RAPETTI,San José 649,518450.540746344,6179592.07831691
"17",SORIANO,"17798",AGRACIADA,AGRACIADA,Treinta y Tres y 19 de Abril,382715.646745624,6258275.54461998
"17",SORIANO,"17321",DOLORES,ASENCIO,Av. Asencio 1549,386866.681053592,6289396.71413303
"17",SORIANO,"17321",DOLORES,DOLORES,Asencio 2199 e/ Alberto Saavedra,387546.871001588,6288248.80001608
"17",SORIANO,"17321",DOLORES,VALENTINA,Puig 1848,387265.281720997,6288921.7151248
"17",SORIANO,"17220",MERCEDES,BELLINI,Fregeiro 738,404276.407631532,6319652.2099532
"17",SORIANO,"17220",MERCEDES,FERNANDEZ GENOLET ,F.D.Roosevelt 706 e/ Colón,404036.164662792,6320557.5759581
"17",SORIANO,"17220",MERCEDES,MONTAÑO,Lavalleja 402 e/ Florencio Sánchez,404813.020963715,6320508.05917534
"17",SORIANO,"17321",DOLORES,FARMASHOP 112 GO-BA,Av. Grito de Asencio 1751,387094.236619296,6289026.06028702
"17",SORIANO,"17220",MERCEDES,SAN ROQUE 32,Colón 278 e/ Careaga y Roosevelt,403992.757431376,6320607.90922268
"17",SORIANO,"17621",JOSE ENRIQUE RODO,DRABBLE,José Enrique Rodó,450657.951100609,6271141.05360796
"17",SORIANO,"17621",JOSE ENRIQUE RODO,ESCANDA,Ruta 2 Km. 209.500,450396.201519728,6271266.20417198
"17",SORIANO,"17622",PALMITAS,POLY,,425365.172212411,6291919.07401974
"17",SORIANO,"17823",RISSO,RISSO,Calle 7 esquina 8,446994.651277125,6279322.22363741
"17",SORIANO,"17521",CARDONA,SORIA,Bvar. Cardona 1379 e/ Barboza,465885.560906438,6251842.88168869
"17",SORIANO,"17622",PALMITAS,ZAFIRO,Bvar Rodó e/ Zorrilla de San Martín,425691.559931108,6292152.9303056
"17",SORIANO,"17521",CARDONA,SINERGIA,Joaquin Suarez y Barboza,465894.452249878,6252198.21583393
"18",TACUAREMBO,"18321",PASO DE LOS TOROS,BENGOECHEA - PASO DE LOS TOROS,Leandro Gómez 521,545889.0137423,6369410.93241362
"18",TACUAREMBO,"18321",PASO DE LOS TOROS,BERO,Bvar. Artigas 358,546219.224505428,6369332.29920169
"18",TACUAREMBO,"18321",PASO DE LOS TOROS,DEMILTON,Angela B. de López 525,544914.578018135,6369897.32481697
"18",TACUAREMBO,"18521",SAN GREGORIO DE POLANCO,CINA CINA,Yamandú Gamba 94,609213.541153086,6390476.9723848
"18",TACUAREMBO,"18521",SAN GREGORIO DE POLANCO,ESPONDA,Gral Artigas 163,609378.540389516,6390824.81680592
"18",TACUAREMBO,"18828",LAS TOSCAS,CLAVIJO,Ruta 26 - Las Toscas,687531.101857259,6437517.18632249
"18",TACUAREMBO,"18828",LAS TOSCAS,RUTA 26,Ruta 26 Km. 348,687683.019773998,6437894.70243699
"18",TACUAREMBO,"18220",TACUAREMBO,BRISAN,María Olimpia y 18 de Julio ,596157.007283534,6490405.21182275
"18",TACUAREMBO,"18220",TACUAREMBO,DEL PARQUE,18 Julio 126,596895.238498148,6491181.70991196
"18",TACUAREMBO,"18220",TACUAREMBO,DEL PUEBLO - TACUAREMBO,25 de Mayo 187,596671.943252093,6491116.62912944
"18",TACUAREMBO,"18220",TACUAREMBO,HIARDIE,Pablo Rios 149,597357.446900108,6489503.25626086
"18",TACUAREMBO,"18220",TACUAREMBO,LA 16,Catalogne 323,596333.153779146,6490102.59795978
"18",TACUAREMBO,"18220",TACUAREMBO,LICANDRO,César Ortiz y Ayala 151 e/ Dr.Ferreira,596083.982827817,6490747.69054696
"18",TACUAREMBO,"18220",TACUAREMBO,NUEVA - TACUAREMBO,18 de Julio 275 e/ 25 de Agosto,596485.531036644,6490784.42474707
