,CODLOC_STR,NOMBLOC,POBLACION,CANT_FARMACIAS
0,01020,MONTEVIDEO,1304729.0,172
1,01900,RURAL,14026.0,11
2,02000,LIMITE CONTESTADO,0.0,0
3,02220,ARTIGAS,40657.0,5
4,02521,BELLA UNION,12200.0,4
5,02522,TOMAS GOMENSORO,2659.0,2
6,02621,BALTASAR BRUM,2531.0,1
7,02721,BERNABE RIVERA,380.0,0
8,02724,FRANQUIA,935.0,0
9,02725,SEQUEIRA,1149.0,0
10,02822,CORONADO,438.0,0
11,02823,CUAREIM,710.0,0
12,02824,CUARO,113.0,0
13,02826,JAVIER DE VIANA,140.0,0
14,02827,LA BOLSA,16.0,0
15,02828,LAS PIEDRAS,2771.0,0
16,02830,PINTADITO,1642.0,0
17,02831,PORT. DE HIERRO Y CAMPODONICO,323.0,1
18,02833,MONES QUINTELA,531.0,0
19,02900,RURAL,3524.0,3
20,02925,CAINSA,355.0,0
21,02927,PASO CAMPAMENTO,264.0,0
22,02934,DIEGO LAMAS,128.0,0
23,02945,PASO FARIAS,38.0,0
24,02952,RINCON DE PACHECO,27.0,0
25,02957,TOPADOR,124.0,0
26,02958,CERRO EJIDO,790.0,0
27,02959,COLONIA PALMA,440.0,0
28,02961,CERRO SIGNORELLI (EL MIRADOR),52.0,0
29,02962,CERRO SAN EUGENIO,425.0,0
30,02963,CALNU,15.0,0
31,03221,LAS PIEDRAS,71258.0,10
32,03320,CANELONES,19865.0,3
33,03321,LA PAZ,20524.0,5
34,03322,PANDO,25947.0,7
35,03323,SANTA LUCIA,16742.0,2
36,03324,PIEDRAS DE AFILAR,132.0,0
37,03325,CUMBRES DE CARRASCO,32.0,0
38,03326,HARAS DEL LAGO,68.0,0
39,03327,QUINTA LOS HORNEROS,7.0,0
40,03328,LAS HIGUERITAS,0.0,0
41,03329,SOFIA SANTOS,54.0,0
42,03421,PROGRESO,16244.0,2
43,03422,SAN RAMON,7133.0,1
44,03521,BARROS BLANCOS,31650.0,7
45,03523,COLONIA NICOLICH,9624.0,1
46,03524,JOAQUIN SUAREZ,6570.0,0
47,03525,PASO CARRASCO,15908.0,4
48,03526,SANTA ROSA,3727.0,2
49,03527,SAUCE,6132.0,1
50,03528,TALA,5089.0,1
51,03529,VILLA CRESPO Y SAN ANDRES,9813.0,1
52,03530,FRACC. CNO. ANDALUZ Y R.84,9295.0,0
53,03621,ATLANTIDA,5562.0,4
54,03622,ESTACION ATLANTIDA,2274.0,1
55,03624,CERRILLOS,2508.0,1
56,03625,EMPALME OLMOS,4199.0,1
57,03626,MIGUES,2109.0,2
58,03627,PARQUE DEL PLATA,7896.0,1
59,03628,SAN BAUTISTA,1973.0,1
60,03629,SAN JACINTO,4510.0,1
61,03630,DR. FRANCISCO SOCA,1797.0,0
62,03631,TOLEDO,4397.0,1
63,03632,MONTES,1760.0,0
64,03633,SAN JOSE DE CARRASCO,7288.0,6
65,03634,FRACC. SOBRE RUTA 74,1513.0,0
66,03721,AGUAS CORRIENTES,1047.0,0
67,03722,BARRA DE CARRASCO,5410.0,3
68,03723,JUANICO,1305.0,0
69,03724,LA FLORESTA,1595.0,3
70,03725,ESTACION LA FLORESTA,1313.0,0
71,03726,LAS TOSCAS,3146.0,0
72,03727,PARQUE CARRASCO,8628.0,6
73,03729,SALINAS,8626.0,2
74,03730,SAN ANTONIO,1489.0,1
75,03731,AEROPUERTO INTERNACIONAL DE CARRASCO,90.0,2
76,03732,SOLYMAR,18573.0,3
77,03733,VILLA AEROPARQUE,4307.0,0
78,03823,CASTELLANOS,520.0,0
79,03825,BARRIO COPOLA,826.0,0
80,03826,COSTA AZUL,965.0,2
81,03827,COSTA Y GUILLAMON,550.0,1
82,03828,EL PINAR,21091.0,2
83,03829,ESTACION MIGUES,144.0,0
84,03830,PINAMAR - PINEPARK,4724.0,1
85,03831,LAGOMAR,8066.0,5
86,03832,OLMOS,662.0,0
87,03833,PARADA CABRERA,409.0,0
88,03834,SAN LUIS,1878.0,0
89,03835,SHANGRILA,3195.0,4
90,03836,TOTORAL DEL SAUCE,746.0,0
91,03837,VILLA FELICIDAD,1344.0,0
92,03838,VILLA PAZ S.A.,542.0,0
93,03839,VILLA SAN JOSE,1419.0,0
94,03840,ESTACION TAPIA,213.0,0
95,03880,VILLA SAN FELIPE,242.0,0
96,03881,VILLA HADITA,235.0,0
97,03882,PASO DE PACHE,147.0,0
98,03900,RURAL,48219.0,27
99,03910,CITY GOLF,1104.0,2
100,03911,VIEJO MOLINO SAN BERNARDO,456.0,0
101,03912,ESTANQUE DE PANDO,770.0,0
102,03913,JARDINES DE PANDO,756.0,0
103,03914,PASO ESPINOSA,333.0,0
104,03921,ARAMINDA,152.0,0
105,03922,ARGENTINO,68.0,0
106,03925,BELLO HORIZONTE,416.0,1
107,03926,BIARRITZ,57.0,1
108,03927,BOLIVAR,139.0,0
109,03928,CAMPO MILITAR,299.0,0
110,03929,CAPILLA DE CELLA,119.0,0
111,03934,CRUZ DE LOS CAMINOS,279.0,0
112,03935,CUCHILLA ALTA,527.0,1
113,03939,EL BOSQUE,988.0,3
114,03942,ESTACION PEDRERA,140.0,0
115,03943,FORTIN DE SANTA ROSA,296.0,0
116,03944,FRACC. PROGRESO,145.0,0
117,03945,INSTITUTO ADVENTISTA,183.0,0
118,03946,JAUREGUIBERRY,458.0,1
119,03948,LA LUCHA,492.0,0
120,03949,LA MONTAÑESA,396.0,0
121,03953,LOMAS DE SOLYMAR,19124.0,3
122,03956,LOS TITANES,153.0,0
123,03957,MARINDIA,3543.0,2
124,03959,NEPTUNIA,4774.0,0
125,03962,PASO DE LA CADENA,142.0,0
126,03966,PASO PALOMEQUE,98.0,0
127,03968,PIEDRA DEL TORO,332.0,1
128,03969,ESTACION PIEDRAS DE AFILAR,91.0,0
129,03970,EL GALEON,192.0,1
130,03974,SANTA ANA,273.0,0
131,03975,SANTA LUCIA DEL ESTE,286.0,0
132,03978,SEIS HERMANOS,622.0,0
133,03979,VILLA AREJO,147.0,0
134,03980,VILLA ARGENTINA,622.0,1
135,03984,VILLA PORVENIR,507.0,1
136,03985,LA TUNA,204.0,0
137,03986,GUAZU - VIRA,86.0,0
138,03987,COLINAS DE SOLYMAR,2813.0,0
139,03988,BARRIO REMANSO,178.0,0
140,03989,VILLA EL TATO,615.0,0
141,03990,VILLA SAN CONO,137.0,0
142,03991,VILLA JUANA,44.0,0
143,03992,COLINAS DE CARRASCO,56.0,0
144,03993,LOMAS DE CARRASCO,806.0,1
145,03994,CARMEL,80.0,1
146,03995,LA ASUNCION,184.0,0
147,03996,QUINTAS DEL BOSQUE,57.0,0
148,03997,ALTOS DE LA TAHONA,168.0,1
149,04220,MELO,51830.0,6
150,04521,FRAILE MUERTO,3168.0,0
151,04522,RIO BRANCO,14604.0,1
152,04621,TUPAMBAE,1122.0,1
153,04721,ISIDORO NOBLIA,2331.0,0
154,04821,ACEGUA,1511.0,1
155,04822,BAÑADO DE MEDINA,207.0,0
156,04823,CENTURION,35.0,0
157,04824,CERRO DE LAS CUENTAS,263.0,0
158,04825,HIPODROMO,505.0,0
159,04827,PLACIDO ROSAS,415.0,0
160,04828,TOLEDO,132.0,0
161,04829,TRES ISLAS,195.0,0
162,04830,POBLADO URUGUAY,104.0,0
163,04900,RURAL,5936.0,8
164,04923,ARBOLITO,189.0,0
165,04924,AREVALO,272.0,0
166,04930,CASERIO LAS CAÑAS,72.0,0
167,04940,ESPERANZA,26.0,0
168,04943,GETULIO VARGAS,28.0,0
169,04948,LA PEDRERA,131.0,0
170,04949,LAGO MERIN,439.0,0
171,04952,MANGRULLO,6.0,0
172,04956,NANDO,13.0,0
173,04966,QUEBRACHO,70.0,0
174,04968,RAMON TRIGO,150.0,0
175,04981,SOTO GORO,9.0,0
176,04983,BARRIO LOPEZ BENITEZ,522.0,0
177,04987,BARRIO LA VINCHUCA,388.0,0
178,04988,ARACHANIA,20.0,0
179,04989,ÑANGAPIRE,5.0,0
180,05320,COLONIA DEL SACRAMENTO,26231.0,8
181,05321,CARMELO,18041.0,2
182,05323,JUAN LACAZE,12816.0,3
183,05421,NUEVA HELVECIA,10630.0,4
184,05422,ROSARIO,10085.0,2
185,05423,NUEVA PALMIRA,9857.0,3
186,05452,PASO ANTOLIN,78.0,0
187,05521,OMBUES DE LAVALLE,3390.0,2
188,05522,TARARIRAS,6632.0,3
189,05621,COLONIA VALDENSE,3235.0,2
190,05622,FLORENCIO SANCHEZ,3716.0,3
191,05721,CONCHILLAS,401.0,0
192,05722,CASERIO EL CERRO,168.0,0
193,05724,LA PAZ,603.0,0
194,05726,RIACHUELO,138.0,0
195,05727,JUAN CARLOS CASEROS,85.0,0
196,05798,AGRACIADA,192.0,1
197,05821,BOCA DEL ROSARIO,12.0,0
198,05824,CUFRE,353.0,0
199,05826,EL SEMILLERO,600.0,0
200,05827,ESTACION ESTANZUELA,249.0,0
201,05829,CERROS DE SAN JUAN,60.0,0
202,05831,MIGUELETE,999.0,1
203,05900,RURAL,11471.0,24
204,05923,CAMPANA,298.0,0
205,05924,ARTILLEROS,73.0,0
206,05925,BARKER,158.0,0
207,05927,EL ENSUEÑO,19.0,0
208,05931,BLANCA ARENA,69.0,0
209,05932,BRISAS DEL PLATA,27.0,0
210,05938,COLONIA COSMOPOLITA,73.0,0
211,05940,PARAJE MINUANO,120.0,0
212,05951,LOS PINOS,193.0,1
213,05955,CHICO TORINO,61.0,0
214,05956,LA HORQUETA,100.0,0
215,05959,PLAYA AZUL,25.0,1
216,05960,PLAYA BRITOPOLIS,107.0,1
217,05961,PLAYA PARANT,45.0,1
218,05962,PLAYA FOMENTO,84.0,1
219,05964,PUERTO INGLES,60.0,0
220,05969,RADIAL HERNANDEZ,294.0,0
221,05977,SAN PEDRO,73.0,0
222,05979,SANTA ANA,222.0,0
223,05980,SANTA REGINA,52.0,0
224,05987,ZAGARZAZU,96.0,0
225,05989,ARRIVILLAGA,112.0,0
226,05993,EL FARO,9.0,0
227,05994,LAGUNA DE LOS PATOS,136.0,0
228,05996,JUAN JACKSON,68.0,0
229,05997,PUEBLO GIL,309.0,0
230,05998,CERRO CARMELO,222.0,0
231,05999,EL QUINTON,56.0,0
232,06220,DURAZNO,34368.0,5
233,06421,SARANDI DEL YI,7176.0,3
234,06521,CARMEN,2692.0,0
235,06621,BLANQUILLO,1084.0,0
236,06622,LA PALOMA,1443.0,0
237,06721,CARLOS REYLES,976.0,0
238,06722,CENTENARIO,1136.0,1
239,06724,SANTA BERNARDINA,1094.0,0
240,06790,CERRO CHATO,1124.0,2
241,06821,BAYGORRIA,161.0,0
242,06900,RURAL,4951.0,5
243,06922,AGUAS BUENAS,86.0,0
244,06924,PUEBLO DE ALVAREZ,29.0,0
245,06940,FELICIANO,77.0,0
246,06951,OMBUES DE ORIBE,89.0,0
247,06960,ROSSELL Y RIUS,72.0,0
248,06964,SAN JORGE,502.0,0
249,06972,LAS PALMAS,24.0,0
250,07320,TRINIDAD,21429.0,8
251,07721,ISMAEL CORTINAS,918.0,1
252,07900,RURAL,2068.0,6
253,07921,ANDRESITO,261.0,0
254,07925,JUAN JOSE CASTRO,97.0,0
255,07937,LA CASILLA,181.0,0
256,07938,CERRO COLORADO,96.0,0
257,08220,FLORIDA,33639.0,2
258,08421,SARANDI GRANDE,6130.0,2
259,08521,CASUPA,2402.0,1
260,08621,CARDAL,1202.0,1
261,08622,FRAY MARCOS,2398.0,0
262,08623,25 DE AGOSTO,1849.0,0
263,08624,25 DE MAYO,1852.0,1
264,08721,ALEJANDRO GALLINAL,1357.0,0
265,08722,CAPILLA DEL SAUCE,835.0,1
266,08723,LA CRUZ,747.0,0
267,08724,NICO PEREZ,1030.0,1
268,08790,CERRO CHATO,409.0,2
269,08821,CHAMIZO,540.0,0
270,08822,GOÑI,246.0,0
271,08823,MENDOZA,730.0,1
272,08824,MENDOZA CHICO,810.0,0
273,08825,REBOLEDO,342.0,0
274,08896,VALENTINES,45.0,0
275,08900,RURAL,9101.0,13
276,08923,BERRONDO,166.0,0
277,08930,PUEBLO FERRER,3.0,0
278,08933,INDEPENDENCIA,396.0,0
279,08938,MONTECORAL,51.0,0
280,08940,PINTADO,170.0,0
281,08941,POLANCO DEL YI,38.0,0
282,08944,PUNTAS DE MACIEL,160.0,0
283,08991,ILLESCAS,83.0,0
284,08992,CASERIO LA FUNDACION,13.0,0
285,08993,LA MACANA,91.0,0
286,08994,ESTACION CAPILLA DEL SAUCE,40.0,0
287,08995,SAN GABRIEL,172.0,0
288,09220,MINAS,38446.0,7
289,09521,JOSE BATLLE Y ORDOÑEZ,2203.0,1
290,09522,JOSE PEDRO VARELA,5118.0,2
291,09621,MARISCALA,1626.0,1
292,09622,SOLIS DE MATAOJO,2825.0,1
293,09721,PIRARAJA,713.0,0
294,09722,ZAPICAN,553.0,0
295,09821,COLON,180.0,0
296,09823,ARAMENDIA,96.0,0
297,09900,RURAL,6070.0,12
298,09924,BLANES VIALE,104.0,0
299,09928,19 DE JUNIO,55.0,0
300,09931,ESTACION SOLIS,55.0,0
301,09932,GAETAN,49.0,0
302,09942,POLANCO NORTE,87.0,0
303,09955,VILLA DEL ROSARIO,149.0,0
304,09956,VILLA SERRANA,89.0,0
305,09957,BARRIO LA CORONILLA - ANCAP,301.0,0
306,09958,SAN FRANCISCO DE LAS SIERRAS,58.0,0
307,09991,ILLESCAS,38.0,0
308,10320,MALDONADO,62590.0,15
309,10321,SAN CARLOS,27471.0,5
310,10521,AIGUA,2465.0,1
311,10522,PAN DE AZUCAR,6597.0,2
312,10523,PIRIAPOLIS,8830.0,4
313,10524,PUNTA DEL ESTE,9277.0,20
314,10821,CERRO PELADO,8177.0,0
315,10822,GARZON,198.0,0
316,10823,GERONA,679.0,0
317,10825,LAS FLORES - ESTACION,397.0,0
318,10826,LOS TALAS,124.0,0
319,10827,NUEVA CARRARA,156.0,0
320,10828,SOLIS,288.0,1
321,10829,PUEBLO SOLIS,61.0,0
322,10830,PINARES - LAS DELICIAS,9819.0,13
323,10831,CHIHUAHUA,37.0,0
324,10832,VILLA DELIA,1703.0,0
325,10833,SAN RAFAEL - EL PLACER,3146.0,2
326,10900,RURAL,5159.0,20
327,10924,BARRIO HIPODROMO,1973.0,0
328,10925,LOS AROMOS,956.0,0
329,10926,BELLA VISTA,141.0,1
330,10929,CANTERAS DE MARELLI,200.0,0
331,10931,CERROS AZULES,293.0,0
332,10934,EL CHORRO,392.0,1
333,10935,EL EDEN,85.0,0
334,10936,EL TESORO,1396.0,1
335,10939,FARO JOSE IGNACIO,292.0,0
336,10940,GREGORIO AZNAREZ,944.0,0
337,10942,LA BARRA,339.0,1
338,10944,LA CAPUERA,2838.0,0
339,10945,LAS FLORES,241.0,1
340,10947,MANANTIALES,149.0,1
341,10948,OCEAN PARK,234.0,0
342,10953,PLAYA GRANDE,1031.0,0
343,10954,PLAYA HERMOSA,611.0,0
344,10955,PLAYA VERDE,269.0,1
345,10956,PUNTA BALLENA,750.0,2
346,10958,PUNTA COLORADA,92.0,0
347,10959,PUNTA NEGRA,178.0,0
348,10962,RUTA 37 Y 9,62.0,2
349,10969,SAUCE DE PORTEZUELO,128.0,0
350,10972,SAN VICENTE,4.0,0
351,10973,BALNEARIO BUENOS AIRES,1551.0,1
352,10980,LAS CUMBRES,14.0,0
353,10981,LOS CORCHOS,24.0,0
354,10982,SANTA MONICA,111.0,0
355,10983,EDEN ROCK,8.0,0
356,10984,PARQUE MEDINA,204.0,0
357,10985,ARENAS DE JOSE IGNACIO,38.0,0
358,10986,LA SONRISA,1562.0,2
359,10987,EL QUIJOTE,10.0,0
360,10988,LAGUNA BLANCA,4.0,1
361,11120,PAYSANDU,76412.0,12
362,11521,GUICHON,5039.0,2
363,11522,NUEVO PAYSANDU,8578.0,0
364,11621,QUEBRACHO,2853.0,0
365,11695,TAMBORES,1111.0,0
366,11721,LORENZO GEYRES,774.0,0
367,11722,MERINOS,528.0,0
368,11723,PORVENIR,1159.0,0
369,11821,ARBOLITO,115.0,0
370,11822,BEISSO,399.0,0
371,11823,CASABLANCA,343.0,0
372,11824,CERRO CHATO,333.0,0
373,11825,CONSTANCIA,331.0,0
374,11826,MORATO,218.0,0
375,11827,PIEDRAS COLORADAS,1094.0,0
376,11828,PIÑERA,112.0,0
377,11830,SAN FELIX,1718.0,0
378,11831,VILLA MARIA (TIATUCURA),49.0,0
379,11894,PIEDRA SOLA,122.0,0
380,11900,RURAL,4364.0,3
381,11922,ARAUJO,34.0,0
382,11924,BELLA VISTA,50.0,0
383,11925,CAÑADA DEL PUEBLO,186.0,0
384,11926,CHAPICUY,735.0,0
385,11929,EL EUCALIPTUS,197.0,0
386,11931,ESPERANZA,340.0,0
387,11932,PUEBLO FEDERACION,20.0,0
388,11935,LA TENTACION,137.0,0
389,11937,ORGOROSO,583.0,0
390,11945,CUCHILLA DE BURICAYUPI,14.0,0
391,11947,SOTO,43.0,0
392,11950,ZEBALLOS,81.0,0
393,11951,CHACRAS DE PAYSANDU,3965.0,0
394,11953,GALLINAL,700.0,0
395,11954,PUNTAS DE ARROYO NEGRO,42.0,0
396,11955,ESTACION PORVENIR,137.0,0
397,11956,CUCHILLA DE FUEGO,11.0,0
398,11957,PUEBLO ALONZO,1.0,0
399,11958,QUEGUAYAR,135.0,0
400,11959,TERMAS DE GUAVIYU,38.0,1
401,11960,TERMAS DE ALMIRON,6.0,0
402,12320,FRAY BENTOS,24406.0,5
403,12421,YOUNG,16756.0,6
404,12621,NUEVO BERLIN,2450.0,0
405,12622,SAN JAVIER,1781.0,1
406,12722,BARRIO ANGLO,785.0,2
407,12723,GRECCO,598.0,0
408,12792,MERINOS,4.0,0
409,12797,ALGORTA,779.0,0
410,12821,EL OMBU,53.0,0
411,12823,PASO DE LOS MELLIZOS,312.0,0
412,12824,SARANDI DE NAVARRO,239.0,0
413,12826,VILLA GENERAL BORGES,362.0,0
414,12827,VILLA MARIA,132.0,0
415,12828,LAS CAÑAS,177.0,0
416,12900,RURAL,5212.0,13
417,12923,BELLACO,283.0,0
418,12930,LOS ARRAYANES,248.0,0
419,12932,MENAFRA,39.0,0
420,12945,TRES QUINTAS,149.0,0
421,13220,RIVERA,64465.0,5
422,13521,MINAS DE CORRALES,3788.0,2
423,13522,TRANQUERAS,7235.0,3
424,13621,VICHADERO,3698.0,2
425,13721,SANTA TERESA,2657.0,0
426,13822,ARROYO BLANCO,97.0,0
427,13823,PASO ATAQUES,107.0,0
428,13824,CERRO PELADO,128.0,0
429,13830,PASO HOSPITAL,295.0,0
430,13831,LAPUENTE,321.0,0
431,13832,LAS FLORES,359.0,0
432,13833,MOIRONES,211.0,0
433,13836,LA PEDRERA,3363.0,0
434,13837,MANDUBI,6019.0,0
435,13838,LAGUNON,2376.0,0
436,13900,RURAL,7602.0,7
437,13922,AMARILLO,20.0,0
438,13929,CERRILLADA,113.0,0
439,13931,CERROS DE LA CALERA,88.0,0
440,13940,LAGOS DEL NORTE,291.0,0
441,13943,MASOLLER,240.0,0
442,14320,ROCHA,25422.0,4
443,14421,CASTILLOS,7541.0,4
444,14422,LASCANO,7645.0,3
445,14521,CHUY,9675.0,3
446,14621,CEBOLLATI,1609.0,0
447,14622,VELAZQUEZ,1022.0,1
448,14721,18 DE JULIO,977.0,0
449,14722,LA PALOMA,3495.0,2
450,14723,SAN LUIS AL MEDIO,598.0,0
451,14821,LA AGUADA Y COSTA AZUL,1090.0,0
452,14822,19 DE ABRIL,205.0,0
453,14823,LA CORONILLA,510.0,0
454,14826,BARRIO PEREIRA,186.0,0
455,14900,RURAL,4146.0,14
456,14921,AGUAS DULCES,417.0,0
457,14923,BARRA DEL CHUY,370.0,0
458,14926,BARRIO TORRES,83.0,0
459,14928,CABO POLONIO,95.0,0
460,14929,CAPACHO,457.0,0
461,14940,BARRA DE VALIZAS,330.0,0
462,14941,LA ESMERALDA,57.0,0
463,14942,LA PEDRERA,225.0,1
464,14948,PARALLE,16.0,0
465,14953,PUERTO DE LOS BOTES,21.0,0
466,14957,PUIMAYEN,505.0,0
467,14959,ARACHANIA,377.0,0
468,14960,PTA. RUBIA Y STA. ISABEL DE LA PEDRERA,94.0,1
469,14962,PUNTA DEL DIABLO,823.0,1
470,14963,PALMARES DE LA CORONILLA,10.0,0
471,14964,LA RIBIERA,30.0,0
472,14965,PUENTE VALIZAS,32.0,0
473,14966,OCEANIA DEL POLONIO,7.0,0
474,14967,PUEBLO NUEVO,10.0,0
475,14968,TAJAMARES DE LA PEDRERA,2.0,0
476,14969,SAN ANTONIO,6.0,0
477,15120,SALTO,104011.0,12
478,15522,BELEN,1926.0,0
479,15523,CONSTITUCION,2762.0,0
480,15721,FERNANDEZ,305.0,0
481,15722,SAN ANTONIO,877.0,0
482,15723,CHACRAS DE BELEN,296.0,0
483,15821,ALBISU,544.0,0
484,15822,BIASSINI,345.0,0
485,15823,CAMPO DE TODOS,212.0,0
486,15824,CAYETANO,39.0,0
487,15825,CUCHILLA DE GUAVIYU,138.0,0
488,15827,TERMAS DEL DAYMAN,356.0,0
489,15828,PALOMAS,88.0,0
490,15829,PASO DEL PARQUE DEL DAYMAN,54.0,0
491,15830,QUINTANA,67.0,0
492,15831,SARANDI DE ARAPEY,210.0,0
493,15832,SAUCEDO,270.0,0
494,15900,RURAL,7849.0,2
495,15924,ARENITAS BLANCAS,155.0,0
496,15931,CELESTE,83.0,0
497,15935,CERROS DE VERA,160.0,0
498,15939,GARIBALDI,354.0,0
499,15943,TERMAS DEL ARAPEY,184.0,0
500,15944,LAS FLORES,124.0,0
501,15945,LAURELES,120.0,0
502,15946,LLUVERAS,223.0,0
503,15949,MIGLIARO,733.0,0
504,15950,OLIVERA,145.0,0
505,15957,PASO DE LAS PIEDRAS DE ARERUNGUA,64.0,0
506,15959,PUNTAS DE VALENTIN,171.0,0
507,15965,RINCON DE VALENTIN,481.0,0
508,15966,COLONIA 18 DE JULIO,750.0,0
509,15969,PARQUE JOSE LUIS,19.0,0
510,15970,COLONIA ITAPEBI,460.0,0
511,15971,GUAVIYU DE ARAPEY,101.0,0
512,15972,RUSSO,30.0,0
513,15973,PASO CEMENTERIO,88.0,0
514,15974,OSIMANI Y LLERENA,67.0,0
515,16220,SAN JOSE DE MAYO,36743.0,7
516,16421,LIBERTAD,10166.0,4
517,16521,DELTA DEL TIGRE Y VILLAS,20239.0,2
518,16621,RODRIGUEZ,2604.0,1
519,16721,ITUZAINGO,771.0,0
520,16722,SANTA MONICA,1662.0,1
521,16821,PUNTAS DE VALDEZ,1491.0,0
522,16822,GONZALEZ,222.0,0
523,16823,MAL ABRIGO,344.0,0
524,16824,PLAYA PASCUAL,6870.0,1
525,16825,18 DE JULIO (PUEBLO NUEVO),469.0,0
526,16826,RAFAEL PERAZA,1277.0,2
527,16827,RAIGON,738.0,0
528,16829,SAFICI (PARQUE POSTEL),1087.0,0
529,16900,RURAL,16471.0,13
530,16923,JUAN SOLER,343.0,0
531,16924,BOCA DEL CUFRE,28.0,0
532,16925,CAPURRO,517.0,0
533,16926,VILLA MARIA,620.0,0
534,16929,ECILDA PAULLIER,2585.0,2
535,16932,KIYU-ORDEIG,423.0,1
536,16933,LA BOYADA,61.0,0
537,16939,CAÑADA GRANDE,59.0,0
538,16945,RINCON DEL PINO,162.0,0
539,16946,SAN GREGORIO,35.0,0
540,16947,SCAVINO,183.0,0
541,16950,MONTE GRANDE,1287.0,0
542,16960,CERAMICAS DEL SUR,93.0,0
543,16961,RADIAL,250.0,0
544,16962,COLOLO TINOSA,149.0,0
545,16963,MANGRULLO,81.0,0
546,16964,CARRETA QUEMADA,99.0,0
547,16965,COSTAS DE PEREIRA,134.0,0
548,16966,COLONIA DELTA,41.0,0
549,17220,MERCEDES,41974.0,8
550,17321,DOLORES,17174.0,4
551,17521,CARDONA,4600.0,3
552,17621,JOSE ENRIQUE RODO,2120.0,2
553,17622,PALMITAS,2123.0,1
554,17623,VILLA SORIANO,1124.0,0
555,17624,PALMAR,381.0,0
556,17721,EGAÑA,783.0,0
557,17722,SANTA CATALINA,998.0,0
558,17798,AGRACIADA,394.0,1
559,17822,CASTILLOS,151.0,0
560,17823,RISSO,557.0,1
561,17824,SACACHISPAS,456.0,0
562,17825,CAÑADA NIETO,430.0,0
563,17900,RURAL,6612.0,17
564,17927,CUCHILLA DEL PERDIDO,36.0,0
565,17928,EL TALA,73.0,0
566,17930,LA CONCORDIA,74.0,0
567,17931,LA LOMA,118.0,0
568,17939,PALO SOLO,170.0,0
569,17950,CHACRAS DE DOLORES,1961.0,4
570,17951,COLONIA CONCORDIA,43.0,0
571,17952,PERSEVERANO,131.0,0
572,17993,LARES,111.0,0
573,18220,TACUAREMBO,54755.0,15
574,18321,PASO DE LOS TOROS,12985.0,3
575,18521,SAN GREGORIO DE POLANCO,3415.0,2
576,18695,TAMBORES,450.0,0
577,18721,ACHAR,687.0,0
578,18722,ANSINA,2712.0,1
579,18723,CURTINA,1037.0,0
580,18724,PASO DEL CERRO,235.0,0
581,18822,CLARA,160.0,0
582,18825,CUCHILLA DEL OMBU,87.0,0
583,18827,LA HILERA,107.0,0
584,18828,LAS TOSCAS,1142.0,2
585,18829,PASO BONILLA,510.0,0
586,18830,PUEBLO DE ARRIBA,170.0,0
587,18831,PUEBLO DEL BARRO,98.0,0
588,18833,RINCON DEL BONETE,54.0,0
589,18834,BALNEARIO IPORA,298.0,0
590,18894,PIEDRA SOLA,88.0,0
591,18900,RURAL,9660.0,14
592,18925,CARDOZO,42.0,0
593,18928,CHAMBERLAIN,52.0,0
594,18931,CUCHILLA DE PERALTA,218.0,0
595,18937,LA PEDRERA,240.0,0
596,18952,LAURELES,19.0,0
597,18963,MONTEVIDEO CHICO,26.0,0
598,18971,CERRO DE PASTOREO,24.0,0
599,18980,SAUCE DE BATOVI,133.0,0
600,18990,PUNTAS DE CINCO SAUCES,51.0,0
601,18991,RINCON DE PEREIRA,23.0,0
602,18992,PUNTA DE CARRETERA,110.0,0
603,18993,CRUZ DE LOS CAMINOS,463.0,0
604,19220,TREINTA Y TRES,25477.0,4
605,19521,SANTA CLARA DE OLIMAR,2341.0,1
606,19522,VERGARA,3810.0,1
607,19721,ARROZAL TREINTA Y TRES,344.0,0
608,19722,GRAL. ENRIQUE MARTINEZ,1430.0,0
609,19723,VILLA SARA,1199.0,0
610,19790,CERRO CHATO,1694.0,2
611,19821,ESTACION RINCON,674.0,0
612,19822,ISLA PATRULLA (MARIA ISABEL),230.0,0
613,19896,VALENTINES,133.0,0
614,19900,RURAL,3172.0,6
615,19922,POBLADO ALONZO,19.0,0
616,19924,ARROCERA RINCON,62.0,0
617,19940,ARROCERA LOS CEIBOS,49.0,0
618,19941,MARIA ALBINA,68.0,0
619,19942,MENDIZABAL (EL ORO),82.0,0
620,19947,PUNTAS DEL PARAO,16.0,0
621,19955,VILLA PASSANO,18.0,0
622,19956,EJIDO DE TREINTA Y TRES,6782.0,4
623,19960,EL BELLACO,54.0,0
624,19961,ARROCERA LOS TEROS,21.0,0
625,19962,ARROCERA BONOMO,8.0,0
626,19963,ARROCERA EL TIGRE,39.0,0
627,19964,ARROCERA LA CATUMBERA,34.0,0
628,19965,ARROCERA LA QUERENCIA,29.0,0
629,19966,ARROCERA LAS PALMAS,40.0,0
630,19967,ARROCERA MINI,41.0,0
631,19968,ARROCERA PROCIPA,55.0,0
632,19969,ARROCERA SAN FERNANDO,72.0,0
633,19970,ARROCERA SANTA FE,25.0,0
634,19971,ARROCERA ZAPATA,116.0,0
