NOMBRE,DIRECCION,x,y,POBLACION
FARMASHOP 87,18 de Julio 1953,441384.498634556,6381909.28295918,9520.0
FARMASHOP 88,Av. Camacho esq. Av. Roosevelt,686207.982007365,6133950.15333728,6559.0
FARMASHOP 89,Av. Carlos Maria Ramirez 802,569909.98490768,6141654.55789942,27047.0
FARMASHOP 9,Av. Joaquin Suarez 3458,573558.385435445,6141700.40295437,24742.0
FARMASHOP 90,"Av. Luis Alberto de HErrera 3365, Nuevo Centro Shopping",575925.225368927,6141139.78743975,31707.0
FARMASHOP 91,Jose Enrique Rodo 550,403734.188747354,6320389.65223301,20385.0
FARMASHOP 92,Gral. Jose Artigas 289,404111.522349958,6320622.51483262,16923.0
FARMASHOP 93,Av. Dr. Enrique Pouey 607,571084.768109699,6156906.93066127,20160.0
FARMASHOP 94,Calle 11 Esq. Ciudad de Montevideo,613332.962482656,6151338.04972509,3246.0
FARMASHOP 95,Brig. Gral. Manuel Oribe 751,544356.53336132,6306437.41077164,15363.0
FARMASHOP 96,Uruguay 697,408074.521334349,6527081.0248125,16419.0
FARMASHOP 97,Sarandi 509,639593.637125445,6580636.85814429,15465.0
FARMASHOP 98,Jose Batlle y Ordoñez 181,570959.763871699,6152974.39038269,15001.0
FARMASHOP 99,Juan D. Jackson 1200,575545.636796157,6136900.11062778,60899.0
FARMASUR,Piovene 1031,595208.975976929,6157671.36773375,15572.0
FARMAUY,Maldonado esq.Yaro,575278.006287263,6136802.57979899,59143.0
FELIX,Cnel. Lorenzo Latorre 1288,422579.395372683,6187646.27246429,6990.0
FEMME,19 de Abril 282,381422.564083602,6237151.88813361,10964.0
FERNANDEZ GENOLET ,F.D.Roosevelt 706 e/ Colón,404036.164662792,6320557.5759581,18448.0
FERRER,Acosta 1229,789408.74519183,6211317.18508818,7202.0
FERROCARRIL,Cerrito 1305 e/ P.Larrañaga,398714.612395388,6424557.17952499,18433.0
FLEMING I,Virrey Arredondo 980,839698.246764181,6388266.4945344,6095.0
FLORENCIO SANCHEZ,Colonia y 25 de Agosto,465535.035242878,6251651.50975016,6106.0
FONT,"Avenida Williman y Parada 1, Edificio Vanguardia",688097.957090584,6130007.90261097,2274.0
FUTURA,Gral. Sanabria 936,657623.054181447,6140309.3815945,4335.0
GALET,Ruta 6 Km 23.100,582952.746718654,6155823.09025142,7587.0
GARAT,19 de Abril 1350,789478.217040062,6211366.50022025,7352.0
GARCEN,18 de Julio y Oribe ,440197.381381528,6381040.86257599,8336.0
GOMEZ,Av. Eduardo Fabini 775,640605.884020579,6170228.17637516,2672.0
GORTARI,Domingo Pérez 501 e/ T.y Tres,661992.484618251,6194658.72777313,16306.0
GUADALUPE,J. B. y Ordoñez 339 e/ C. Mayo G.,570701.292563374,6152972.68402955,15464.0
HEINZEN,18 de Julio 878,397649.896111539,6423953.37035931,18047.0
HELVETICA,Luis A. de Herrera 1101 e/ Artigas,478493.130353242,6205764.21359341,7025.0
HIARDIE,Pablo Rios 149,597357.446900108,6489503.25626086,12668.0
HUMANITARIA,25 de Agosto 1192 loc.3,758895.904525599,6270423.70483692,6008.0
IDAMAR,Varela s/n e/ Carlos Ma. Fosalba,663035.469784968,6195575.66600687,12047.0
ILEANA II,19 de Abril 1302 e/ P. Larrañaga,398117.398293506,6424634.92916422,16375.0
INGLESA II,Leandro Gómez 1013,397759.407917204,6423829.02020552,18537.0
IPORA,Cont. 25 de Agosto y Artigas,686003.163952607,6135109.65990694,15396.0
IRISARRI,Av. Artigas s/n,705243.958178697,6231015.85169423,1717.0
JAQUE MATE,Rúben Artigas s/n,692019.600817493,6355318.54825915,1523.0
JAUREGUIBERRY,Calle 10 (Av. Artigas) esq. Calle 3 (Apereá),646510.826414388,6149585.74735359,289.0
JAZMIN,Luis A. de Herrera s/n,745689.857125942,6180278.49750609,7311.0
JUAN ANGEL,Roosevelt 59,556234.659664183,6187257.10039998,13076.0
KIYU,Luz Marina s/n,523820.211594314,6160398.74663737,392.0
LA 16,Catalogne 323,596333.153779146,6490102.59795978,16904.0
LA CABINA,Av. Los Laureles s/n,652579.978579729,6146413.95564499,327.0
LA FAMILIA,Podestá 715,728988.140472683,6295426.9044762,4591.0
LA FLORESTA,Treinta y Tres y Argentina,621069.405444479,6152743.62871355,1180.0
LA MUTUALISTA,Rincón 1102,377343.732510461,6335071.19932305,6021.0
LA PASTORA,Av. Francia y Ansina,688434.133758467,6130169.07015236,2663.0
LA PEDRERA,Pitanga c/ Avda. Principal,763455.1405184,6168531.66180345,320.0
LA ROTONDA,Julio César González Moreno 203,422725.340058933,6187132.04022462,7598.0
LA RUTA,Villa Ansina,645372.731155941,6471947.47591072,2957.0
LAS CAÑAS,18 de Julio 1643,378220.618552297,6334444.24966354,14941.0
LAS DELICIAS,Av. España P. 27 A (límite Maldonado),685600.909198655,6134558.49293628,8124.0
LIBERFARMA,Rivas Costas 1071,534727.205693352,6167113.80922383,8946.0
LICANDRO,César Ortiz y Ayala 151 e/ Dr.Ferreira,596083.982827817,6490747.69054696,18923.0
LLUBERAS,Gral. Artigas 1896,443679.306504491,6208250.02484131,6642.0
LLUBERAS GUICHON,18 de Julio 325,481039.76978079,6419845.65943505,4461.0
LOMBARDI,Gral. Artigas 352 e/ Lavalleja ,544036.58830983,6306914.23502981,16336.0
LONG,18 de Julio 1886,441141.879820614,6381720.40469871,10986.0
LOS ANGELES,Artigas y Misiones,657163.232707655,6141445.0261562,2059.0
LUCHILD,18 de Julio 712,617740.138719729,6548455.56052609,5549.0
LUDOMAR (EX HOLINA),Av. Centenario s/n,674429.478619048,6335670.79748542,2968.0
LUNA,Garibaldi 21,587416.041535294,6142773.80079965,9267.0
LUNA,Garibaldi 21,587500.842131097,6142671.8551816,9330.0
LUSSICH,Cno. Lussich y Carolina Saboya,685822.868205693,6136158.22943384,17790.0
LUZ,Calle 7 esq. 13,688680.955240482,6136388.2797075,19393.0
MACHADO,Rambla de los Argentinos 1192,657528.22149852,6140376.79073287,4025.0
MAFELUGUS ,Larrañaga 1251,759038.858175465,6270675.49287585,5893.0
MALDONADO,Sta. Teresa y Ventura Alegre,686992.156780699,6135408.75956105,22424.0
MALLARINI,25 de Agosto 1111 e/ Luis Dreyer,478638.333697799,6206079.06494658,7477.0
MARIMAR,Interbalnearia Km. 39.200,606919.426184589,6151416.24491088,6036.0
MARINE,César Rodríguez Bonavita,495724.644338271,6198276.47359415,2618.0
MARITAN,Margarita Muniz 801,706009.709864961,6212953.12144721,2525.0
MARSO,Dr. Legniani 452,556061.557325075,6187360.86372689,13771.0
MARTIN,Feliciano Viera s/n,625872.438559505,6182776.27090452,2591.0
MAYRA,Garzón y Treinta y Tres,550982.976238003,6636432.31872116,17714.0
MEDICCI II,Av. España 1549,398931.888928115,6423797.05964203,16866.0
MIGUELETE,25 de Agosto 1111 e/ Luis Dreyer,440210.085358177,6236846.68472668,1230.0
MODERNEL,18 de Julio y Fco.Fondar,509516.724633985,6290985.11526272,13239.0
MONTAÑO,Lavalleja 402 e/ Florencio Sánchez,404813.020963715,6320508.05917534,16484.0
NANITOS,25 de Agosto 381,481135.470397002,6419750.92904748,4587.0
NARBONDO,Av. Brasil 895,638975.735799453,6580467.48926537,19395.0
NATIVA,Ruta 5 Km. 74.500,572196.508825846,6206479.92215794,973.0
NIEVE,Cno de los Gauchos y Oribe,687865.4231349,6135801.79061279,25600.0
NUEVA,Lavalleja 2000,443609.32242822,6207860.13893431,5873.0
NUEVA - CANELONES,Treinta y Tres 549 esq Rodó,565959.709068441,6179422.28673324,15961.0
NUEVA - TACUAREMBO,18 de Julio 275 e/ 25 de Agosto,596485.531036644,6490784.42474707,17668.0
NUEVA FARMACIA CARDAL,Av. Artigas s/n e/ Uruguay,555887.446299927,6205451.58295596,1337.0
NUEVA REPUBLICA,Av. Solari 1702,407773.290556748,6525148.71929851,18186.0
NUEVA TROCHE,Av. Dr. Armand Ugón 1358,475613.193628489,6199953.84488682,2687.0
OLALDE II,Montecaseros e/ Colón,398250.048147466,6423318.44368135,16757.0
OLAZA,Felix de Lizarza 749,662403.997854773,6150392.35206008,5809.0
OLIMAR I,Pablo Zufriategui 449,743914.056589382,6319961.4694623,15871.0
OMBUES,Zorrilla de San Martín 838,424920.372585102,6244110.47812392,2982.0
ORIENTAL,Domingo Pérez 479,661948.785318028,6194610.32663198,15802.0
OSTA BATLLE,Batlle y Ordoñez 865,509710.890610755,6290873.82413592,11623.0
OSTRA CENTRO,Francisco Fondar 691,509527.719884132,6291223.00021513,14431.0
PACCINI CENTRO,Pedro Rosa Guiffini e/ J.B.y Ordoñez,570866.489589734,6152973.91370613,15226.0
PALMIRENSE,Gral. Artigas 970,369589.045208376,6251139.36003492,6958.0
PARANT,Los Aromos esquina Rincon del Rey,476483.8563121,6189639.45448176,467.0
PASO DE LA ARENA,Av. Luis Batlle Berres 6605,566466.752155426,6144880.37632238,7006.0
PASTEUR - SARANDI GRANDE,Av. Artigas 867,562204.009230322,6268187.76343797,6130.0
PIGALE CIELMAR,Rincón 700 esq. Juncal,572964.349587122,6137145.87848032,28108.0
PIGALE DOMAR,Manuel V. Pagola 3295 esq. Chucarro,578104.66676147,6136702.29238242,55726.0
PIGALLE - DE LA COSTA,Calcagno M.40 S.8,591456.283441137,6143117.62654956,9689.0
PIGALLE 1,Félix Buxareo 1158 esq. Echevarriarza,578263.387102182,6136812.96206268,49413.0
PIGALLE 2,Av. Brasil 2570 esq. Gral. Brito del Pino,576881.526485327,6136868.47744137,67107.0
PIGALLE 3,Juan Benito Blanco 994 esq. José Martí,577765.65227957,6136202.17305917,60578.0
PIGALLE 4,21 de setiembre 2948 esq. Tomás Diago,577322.58282803,6135541.15048417,47383.0
PIGALLE 8 DE OCTUBRE,Av. 8 de Octubre 2547 esq. Presidente Berro,576518.942739477,6138622.0408676,39871.0
PIGALLE ALVAREZ,Av. Garibaldi 2567 esq. Monte Caseros,576448.379929577,6139237.02605291,42256.0
PIGALLE CANADA,Av. Bolivia 1429 esq. San Nicolás,585281.974153456,6138416.04186811,9584.0
PIGALLE CORDON,Av. 18 de julio 2051 esq. Martín C. Martínez,575748.104730258,6137755.25758888,59626.0
PIGALLE HERMES,Bvar. España 2502 esq. Obligado,576714.666611008,6136377.66192303,64858.0
PIGALLE LYON,Av. 18 de julio 2102 esq. Joaquín Requena,575865.183002765,6137780.15175216,58141.0
PIGALLE MARAZUL,Av. 18 de julio 2151 esq. Juan Paullier,575948.923192249,6137851.97215407,55043.0
PIGALLE MASSONE,Gabriel Pereira 3148 esq. 26 de Marzo,577800.299179063,6136710.28171031,63974.0
PIGALLE MAYO,Andes 1397 esq. Colonia,573238.925015295,6137141.77996749,34282.0
PIGALLE PALERMO,Dr. Carlos M. Morales 946 esq. Av. Gonzalo Ramírez,574607.424708324,6136332.30084809,39549.0
PIGALLE PONCE,Av. Gral. Rivera 2475 esq. Av. Luis P. Ponce,576578.254948685,6137433.49198368,59408.0
PIGALLE PUNTA DEL ESTE,Av. Juan Gorlero y Calle 19,687503.923465839,6128951.10911982,1683.0
PIGALLE TRES CRUCES,E. Victor Haedo 2356 esq. Dr. Mario Cassinoni,576219.736494227,6138225.26794602,46351.0
PIRUJAS,Batlle y Ordoñez 769,565897.970167658,6179875.37595977,14008.0
PLAZA,19 de Abril 205,458181.434862306,6633499.97104612,2688.0
POLLINI,Pte. Berreta 400 e/ Lavalleja,551318.850977541,6636525.38234327,18687.0
POPULAR,25 de Mayo 267,596427.821375211,6490865.39741499,17905.0
POPULAR,Fernández Crespo 1991,574769.987961314,6138187.10046877,49781.0
POPULAR,Garzón 300 e/ Rivera,551302.979193707,6636817.7904651,19605.0
POPULAR - TALA,18 de Julio e I. De León,613909.555088021,6198898.89295832,5133.0
PORTEZUELO,Ruta Interbalnearia Km. 117.500,677548.518759793,6138783.32649138,296.0
PRINCIPAL,25 de Agosto 1105 bis,534744.568835558,6167245.3248316,9415.0
PUERTO SAUCE,Av. Artigas 487,459409.693260809,6189827.89573736,7956.0
PUNTA FARMA,María Espínola 1614,583679.834341964,6138951.40791344,16575.0
RAFAEL,Artigas 452 e/ Ansina,638371.367347446,6581184.16080307,21219.0
RAPETTI,San José 649,518450.540746344,6179592.07831691,2110.0
REX,Av. Rivera 3648,579064.136278085,6137703.4169259,35890.0
RIAL,Av. Centenario s/n,627272.901164026,6295877.04912051,865.0
RINIHUE,Ituzaingó 226 e/ 18 de Julio,596638.517321312,6490907.74476568,16535.0
RIO URUGUAY,18 de Julio 1308,377723.203655642,6334867.16658908,9448.0
RISSO,Calle 7 esquina 8,446994.651277125,6279322.22363741,858.0
ROPIEL,Oribe 797,627677.869365489,6310296.4629532,4810.0
RUBENS,José Salvo 310,459597.16161063,6189539.08575626,8229.0
RUMBO AL 3000,Dr. Román Bergalli 445,687225.357361904,6135597.37738485,25471.0
RUTA 26,Ruta 26 Km. 348,687683.019773998,6437894.70243699,1926.0
SAGA,Manuel Oribe 476,551371.377109083,6636266.21716627,16814.0
SAN BAUTISTA,Treinta y Tres Orientales s/n,595370.841273673,6188511.95056568,2602.0
SAN GIOVANNI,Tuyutí M.522 S.18,598094.233711218,6146869.8305781,6100.0
SAN JAVIER (EX SABELIN),Basilio Lubker s/n,393533.88686981,6385206.28020536,2020.0
SAN MATEO,Dr. Fonseca 1327,758801.95201159,6270252.17878229,5847.0
SAN PABLO,Av. San Martin 2443,574342.44433984,6139819.5518271,37276.0
SAN PEDRO,Herrera 874,544215.979010432,6306764.15039946,16301.0
SAN PIO,José Batlle y Ordoñez esq. 25 de Agosto,468569.071929827,6601230.93822836,2493.0
SAN RAFAEL,Brighton y Nordeney (La Barra),690076.221213647,6131749.88110421,760.0
SAN RAMON,Av. José B. y Ordoñez 1215,596009.939152258,6205691.09376548,4710.0
SAN ROQUE,Bvard. Bicentenario 318,572943.865891283,6157120.90858114,16541.0
SAN ROQUE,Sarandí 555,686192.26057451,6134553.31261938,11686.0
SAN ROQUE  38,Manuel Oribe 817,544412.233272504,6306536.47061671,15509.0
SAN ROQUE - PRACTIFARMA 48,Villanueva Saravia 777,766644.962212003,6415698.90219995,17371.0
SAN ROQUE 01 - CORDON,18 de julio 1551,574693.242300449,6137275.12519613,65052.0
SAN ROQUE 03 - COSTA URBANA,Av. Giannattasio Km. 21,592001.391103697,6144153.62973366,9914.0
SAN ROQUE 04 - YI,18 de Julio 1252 esq. Yi,574092.02110226,6137097.49153048,58538.0
SAN ROQUE 05 - MAM,Jose .L. Terra  2200   local   37 y 38,574631.801398912,6139192.48072434,38639.0
SAN ROQUE 06 - MONTEVIDEO SHOPPING,Luis A. de Herrera 1290 - Loc.152,578847.393909513,6137369.99498943,35381.0
SAN ROQUE 08 SHOPPING,Bvard. Artigas 770 Shopping loc. 001,399239.561025675,6423422.29007609,16745.0
SAN ROQUE 09 - CONVENCION,18 de Julio 900 esq. Convención,573350.523470392,6137041.98065641,36781.0
SAN ROQUE 11 - PORTONES SHOPPING,Av. Italia 5775 - Loc. 201/206,583901.21424677,6139734.90626342,12264.0
SAN ROQUE 12 - TRES CRUCES SHOPPING,"Bvar. Artigas 1825, local 48",576213.946182909,6138424.7726032,44877.0
SAN ROQUE 13 - PASO MOLINO,Agraciada 4214,571307.744360931,6142622.51015195,26163.0
SAN ROQUE 14 - PUNTA CARRETAS SHOPPING,Ellauri 350 - Loc. 109 y 145,576817.899154345,6135084.95663984,30211.0
SAN ROQUE 15 - PUNTA SHOPPING,Av. Roosevelt y Los Alpes,688686.092053392,6131557.74158202,2367.0
SAN ROQUE 16 - MALVIN,Mississipi 1647 esq. Rivera,582572.169868004,6138637.03670421,21198.0
SAN ROQUE 17 - CERRO,Avenida Carlos María Ramírez 1490,568829.814896592,6140803.35571853,18046.0
SAN ROQUE 18 - GEANT,Av. La Playa y Giannattasio,589211.170534148,6141426.96939296,4852.0
SAN ROQUE 19,B. y Ordoñez 2265 loc.117 (Shopping),410193.953202232,6527405.80527647,16818.0
SAN ROQUE 21 - UNIVERSIDAD,Avenida 18 de Julio 1799 esq. Tristán Narvaja,575143.942165137,6137484.25816899,65306.0
SAN ROQUE 22 - ELLAURI,José Ellauri 512 esq. Montero,576973.245939267,6135371.76807353,42237.0
SAN ROQUE 23 - MERCEDES SHOPPING,Don Bosco casi Artigas (Shopping),404254.855582493,6319697.40511696,22535.0
SAN ROQUE 24 - AEROPUERTO DE CARRASCO,Aeropuerto de Carrasco - Ruta 101 km 19.950,589955.070500297,6144615.760153,1176.0
SAN ROQUE 28 - BENITO BLANCO,Gabriel Pereira 3298 esq. Benito Blanco,577990.868329413,6136469.56263094,57219.0
SAN ROQUE 29 - COLONIA SHOPPING,Shopping Colonia Del Sacramento,423322.257079047,6185779.95838592,9063.0
SAN ROQUE 30 - CIUDAD VIEJA,Sarandí 699,572986.714633348,6137045.20522309,28749.0
SAN ROQUE 31 - UNION,8 de Octubre 3640,578316.725800553,6140300.45348413,37975.0
SAN ROQUE 32,Colón 278 e/ Careaga y Roosevelt,403992.757431376,6320607.90922268,17233.0
SAN ROQUE 33,Uruguay 839,408274.280306223,6527050.64848543,17728.0
SAN ROQUE 34,18 de Julio 1707,378339.609831284,6334337.48699417,15152.0
SAN ROQUE 35,19 de Abril e/ L.Gómez y 18 de Julio,397960.231519035,6423813.32385697,18343.0
SAN ROQUE 36,Francisco Fondar 649,509530.198584435,6291311.49498761,14390.0
SAN ROQUE 37,Av. Artigas 389,422578.020891519,6185753.50699838,8100.0
SAN ROQUE 40,Sarandí 665,639424.036492647,6580364.27176396,18287.0
SAN ROQUE 42 - AROCENA,Arocena 1681 esq. Rivera,586020.405239604,6139129.48283479,9240.0
SAN ROQUE 44,Berna 1295,478506.375700278,6206305.95265311,7138.0
SAN ROQUE 46,Dr. Fco. Soca 220,408394.949775534,6527303.29002987,19481.0
SAN ROQUE 47,Grito de Asencio 1499,408340.547568757,6528649.69093352,17553.0
SAN ROQUE 49,Justino Muniz 768,766334.049457222,6415212.7230486,17215.0
SAN ROQUE 50,25 de Mayo 208,596598.380578206,6491017.69148009,15968.0
SAN ROQUE 51 - CONSTITUYENTE,Constituyente 1789 esq. Gaboto,575110.118883676,6137019.6291708,65662.0
SAN ROQUE 52 - SALTERAIN,Rivera 2102 y Salterain,575822.498893475,6137470.75735355,62126.0
SAN ROQUE 53,25 de mayo 321,596285.967503523,6490719.98656236,18919.0
SAN ROQUE 54,Sarandí 555 e/ Antonio Ledesma,686604.335782347,6134647.49939163,14302.0
SAN ROQUE 56,"Luis Alberto de Herrera 950, Minas - Lavalleja.",662038.653813518,6195551.70537503,14330.0
SAN ROQUE 58 - PAULLIER,Canelones 2198 esq. Paullier,576038.027032333,6136943.13173345,65642.0
SAN ROQUE 61 - PARQUE RODO,Av. Julio Herrera y Reissig 736,576214.668973187,6136034.98489053,43562.0
SAN ROQUE 63 - COMERCIO,Av Italia 3830 esq. Solano López,579593.814570356,6139134.34043022,36818.0
SAN ROQUE 90 MENAFRA,Calle 28 esq. 20,687828.427222062,6129448.2985277,2023.0
SAN ROQUE BOSCA,Wilson Ferreira 1047 ,595141.081333112,6157574.14779571,15736.0
SAN ROQUE CENTRO,18 de Julio 1078 esq. Paraguay,573732.332033945,6137069.10049097,48187.0
SAN SEBASTIAN,Montevideo 3547,440403.584703188,6381852.35162507,9357.0
SANDU,25 de Mayo 250,596493.520991753,6490905.26220594,17348.0
SANFER I,Juan A. Lavalleja 1265,743450.67729332,6320594.60134142,12000.0
SANTA CECILIA CENTRO,Av. Artigas 642,441820.770323933,6652068.41729588,6908.0
SANTA CECILIA ESTE,Av. Artigas 1609,442798.990850498,6652379.52256233,10419.0
SANTA CRUZ,25 de Mayo 457 bis,595907.983358364,6490313.48544543,16864.0
SANTA HIGINIA,Av.José G. Artigas 730,768115.439610604,6470635.8831125,1132.0
SANTA ROSA,Av. Tomás Berreta ,588213.367930065,6182090.63551211,3963.0
SANTA VERONA,Cerro Largo s/n esquina Avenida Brasil,709450.07418056,6364679.44045279,1173.0
SAUCE,Carmelo Renée González 2132,585651.623598285,6165316.45415065,5899.0
SENAQUE ,Ciganda y Oribe (Plaza Independencia),526865.909299995,6200083.79196381,17905.0
SERRALEX,Dr. Davison,644960.698222631,6506220.03104501,3892.0
SERRANA,Juan Farina 445,661522.460029626,6194862.0535021,14454.0
SILLEDA,General Flores 3401,575770.256974869,6141560.39304398,30192.0
SILVA,Lavalleja 119 esquina 18 de julio,744933.083649434,6181171.36998987,12706.0
SINERGIA,Joaquin Suarez y Barboza,465894.452249878,6252198.21583393,7276.0
SOL Y LUA,Paloma s/n entre Aries y Solari,760374.988973628,6161149.42780534,1705.0
SOLER,18 de Julio 851,690601.921727365,6147947.81003843,18021.0
SORIA,Bvar. Cardona 1379 e/ Barboza,465885.560906438,6251842.88168869,7105.0
SU FARMACIA,Calle 11 y 26 Padrón 126 M.180,613014.611873796,6151549.30632085,3289.0
SUDRIERS,Luis A. de Herrera s/n,600939.414895255,6160295.19892135,4896.0
SUEÑOS,Calle 1 y 10 - Urb. Biarritz,687885.7307375,6136836.21189385,26214.0
SUIZA,Leandro Gómez 989,397720.470407428,6423834.00584568,18368.0
TALITA,Presidente Viera 1299,639352.58324476,6579627.03288593,14661.0
TAMITA,Florida y Ramón Guerra ,686704.475576683,6135228.95034621,19958.0
TAPIE,25 de mayo 315,572246.891751352,6136994.39990376,12861.0
TEJERA HNAS.,Manuel Francisco Artigas s/n,624285.280411323,6225898.79414966,2733.0
TERMAL GUAVIYU,"Termas de Guaviyú, ruta 3, km431",416134.189311658,6476745.64828226,296.0
TERMINAL,Artigas 779 e/ Ansina,526135.134029171,6200629.00580128,15395.0
TORRE 18,Giannattasio Km. 18,590394.354506152,6142414.61465893,5663.0
TRANQUERAS,18 de Julio 597,617480.151116357,6548693.32685031,5223.0
TUNDISI COUNTRY,Camino de los Horneros Km. 3,593616.716782361,6149591.07653564,1041.0
URUGUAY - ROCHA,18 de Julio 129,744774.350279376,6181342.84821296,12947.0
VALDENSE,Av. Armand Ugón 1013,476126.237476779,6200456.62633056,3290.0
VALENTINA,Puig 1848,387265.281720997,6288921.7151248,11931.0
VANT´HOFF,Av. Uruguay 1799,409492.371346356,6526916.88219515,19912.0
VERGARA,Marcelo Barreto 1155,786262.86620729,6351429.39242746,3140.0
VERO,Ruta 8 Km 28.000,593080.45302149,6155196.32332594,6027.0
VICHADERO,25 de Agosto s/n,718470.514925031,6481595.84681688,3922.0
VIDAL,Gral. Artigas 368,491674.867770302,6242344.98771656,1086.0
YALALE VI,Giannattasio Km 21.000 M.121 S.18,592471.588289447,6144354.01192427,10273.0
YATAY,Sarandí 414,627292.92196543,6309679.43958228,6070.0
ZAFIRO,Bvar Rodó e/ Zorrilla de San Martín,425691.559931108,6292152.9303056,2322.0
ZAPICAN,Lavalleja 415,729171.901084823,6295350.00253392,4159.0
